시장	업종구분	종목명	종목코드	시가총액	유통비율
Q	'전기/전자	SFA반도체	'036540	"4,991"	"44.7"
Q	'기계/장비	KZ정밀	'036560	"1,914"	"29.7"
K	'음식료/담배	팜스코	'036580	"984"	"38.7"
Q	건설	세종텔레콤	'036630	"1,090"	"40.0"
Q	화학	삼양케이씨아이	'036670	"786"	"45.5"
Q	일반서비스	심텍홀딩스	'036710	"755"	"40.1"
Q	통신	나이스정보통신	'036800	"2,175"	"44.6"
Q	일반서비스	솔브레인홀딩스	'036830	"7,075"	"20.2"
Q	'전기/전자	파세코	'037070	"1,400"	"28.5"
Q	'종이/목재	한국팩키지	'037230	"590"	"28.5"
Q	'전기/전자	인지디스플레	'037330	"600"	"41.9"
Q	'전기/전자	삼지전자	'037460	"1,725"	"46.6"
K	'오락/문화	LG헬로비전	'037560	"2,048"	"40.7"
K	유통	광주신세계	'037710	"2,304"	"33.0"
Q	금속	쎄니트	'037760	"548"	"35.4"
Q	'전기/전자	엘컴텍	'037950	"828"	"42.7"
Q	금속	제일테크노스	'038010	"606"	"47.8"
Q	일반서비스	레드캡투어	'038390	"2,030"	"23.9"
Q	비금속	삼표시멘트	'038500	"3,421"	"34.8"
Q	'종이/목재	이건홀딩스	'039020	"1,101"	"44.0"
Q	'오락/문화	한국경제TV	'039340	"1,258"	"26.4"
K	건설	HDC랩스	'039570	"2,365"	"25.1"
Q	일반서비스	오로라	'039830	"700"	"41.1"
Q	'운송장비/부품	SG&G	'040610	"603"	"49.5"
Q	'의료/정밀기기	이엘씨	'041520	"1,042"	"49.3"
K	'운송장비/부품	상신브레이크	'041650	"636"	"44.9"
Q	화학	동아화성	'041930	"902"	"49.8"
Q	'전기/전자	에스씨디	'042110	"685"	"48.6"
Q	금융	비츠로테크	'042370	"2,151"	"39.8"
Q	IT 서비스	네오위즈홀딩스	'042420	"2,441"	"28.4"
Q	IT 서비스	링네트	'042500	"830"	"48.4"
Q	'전기/전자	새로닉스	'042600	"852"	"33.2"
K	'운송장비/부품	한화오션	'042660	"259,532"	"33.6"
K	'기계/장비	한미반도체	'042700	"83,861"	"43.3"
Q	'의료/정밀기기	바텍	'043150	"3,231"	"46.4"
Q	'전기/전자	성호전자	'043260	"833"	"45.6"
Q	'기계/장비	에쎈테크	'043340	"496"	"23.6"
Q	'운송장비/부품	피에이치에이	'043370	"2,258"	"38.4"
Q	'전기/전자	웰킵스하이텍	'043590	"176"	"43.6"
Q	'음식료/담배	국순당	'043650	"817"	"45.3"
Q	유통	서울리거	'043710	"683"	"37.5"
Q	'전기/전자	위닉스	'044340	"1,206"	"40.5"
Q	금속	태웅	'044490	"6,182"	"46.1"
K	금융	코스맥스비티아이	'044820	"1,617"	"37.4"
Q	일반서비스	한양이엔지	'045100	"3,182"	"45.3"
Q	IT 서비스	KG모빌리언스	'046440	"2,269"	"43.2"
K	건설	대우건설	'047040	"18,059"	"47.9"
